pseudo,lp,wr,kp,gm,vm,champ1,champ2,champ3
Billy Butcher XD,874LP,54.0%,56.9%,464.0,1.2,Viego,Bel'Veth,Elise
5R W1nd,874LP,56.8%,50.3%,451.0,0.8,Varus,Caitlyn,Draven
Rin ItÃ´shi,873LP,59.3%,50.7%,474.0,0.7,Zeri,Kai'Sa,Lucian
Ttv Incursio,873LP,54.3%,55.1%,468.0,0.5,Katarina,Kayn,Viego
Ducky x,873LP,54.2%,58.6%,301.0,1.9,Janna,Ashe,Nautilus
qyqyzya,871LP,53.9%,49.4%,454.0,0.9,Lucian,Varus,Ezreal
worst sona world,871LP,60.6%,67.1%,321.0,2.1,Sona,Senna,Taric
Batuuu,871LP,53.1%,60.4%,308.0,2.2,Karma,Heimerdinger,Nami
Trotarix,866LP,55.7%,52.1%,456.0,0.7,Zeri,Samira,Tristana
kasii,840LP,58.7%,51.5%,472.0,0.8,Twitch,Zeri,Ezreal
Azzapp,865LP,53.5%,52.8%,346.0,2.2,Vel'Koz,Lux,Karthus
Stormaxx,864LP,54.8%,55.4%,419.0,1.2,Viego,Wukong,Lee Sin
Mr UnerwÃ¼nscht,863LP,71.4%,49.9%,469.0,0.7,Anivia,Katarina,Viktor
MARVIN 1V9 ULTRA,859LP,52.9%,36.6%,377.0,0.8,Singed,Karma,Nasus
Excel lent mid,857LP,59.5%,46.5%,458.0,0.8,Ryze,Sylas,Zed
ACD,857LP,54.5%,40.8%,445.0,0.9,Gangplank,Jax,Olaf
Thebigestnoob1,856LP,52.4%,50.5%,457.0,0.6,Tristana,Ezreal,Caitlyn
Snow Lion,854LP,52.4%,34.3%,457.0,0.6,Olaf,Gangplank,Jax
GOOD GAME GG EZ,852LP,55.8%,49.8%,471.0,0.8,Azir,Jayce,Viktor
Sayona,851LP,56.5%,53.1%,305.0,1.5,Soraka,Nami,Gwen
Kevin Pearson,850LP,52.9%,51.8%,421.0,1.3,Viego,Lee Sin,Jarvan IV
FGG,848LP,53.0%,62.5%,289.0,2.3,Rell,Rakan,Ashe
KnurbleWobblebob,848LP,54.4%,57.7%,322.0,2.4,Lux,Ashe,Lulu
EIQ Jackies,847LP,54.4%,49.2%,455.0,1.0,Sylas,Varus,Kassadin
TTVronaldoo,846LP,54.3%,45.7%,441.0,0.9,Ryze,Syndra,Zoe
Nillee,846LP,52.7%,37.9%,439.0,0.9,Jax,K'Sante,Sion
Hido1,845LP,52.5%,50.8%,446.0,0.8,Zeri,Caitlyn,Twitch
NapoIeon Hill,845LP,52.8%,44.8%,417.0,0.9,Ryze,Jayce,Syndra
Bo Fan,844LP,58.2%,55.6%,428.0,1.2,Wukong,Elise,Jarvan IV
PriqtnoZakruglen,844LP,54.9%,52.6%,427.0,1.1,Vi,Graves,Wukong
slowqq,844LP,53.6%,45.4%,431.0,0.9,Irelia,Akali,Syndra
