pseudo,lp,wr,kp,gm,vm,champ1,champ2,champ3
BRNS,597LP,58.6%,59.0%,421.0,1.2,Graves,Elise,Vi
MaDashyTiltWall,596LP,51.9%,38.9%,387.0,0.7,Yasuo,Yone,Annie
cringeattack1815,596LP,56.8%,58.3%,299.0,2.1,Thresh,Pyke,Blitzcrank
indoor fish,595LP,51.1%,43.9%,426.0,1.0,Ryze,Syndra,Jayce
Moonkie,595LP,50.5%,55.9%,373.0,0.8,Maokai,Jarvan IV,Ivern
Mauro Dinosauro,594LP,61.1%,52.6%,416.0,1.2,Vi,Sejuani,Maokai
ana spongebob,594LP,52.2%,56.4%,427.0,1.1,Nidalee,Lee Sin,Graves
Vladi1597,600LP,51.3%,46.9%,452.0,0.9,Jayce,Tristana,Kassadin
twtvsubbexlol,593LP,51.5%,50.9%,483.0,1.1,Draven,Varus,Ezreal
MY DREAM LEC,593LP,53.6%,54.2%,396.0,1.1,Viego,Jarvan IV,Sejuani
dajor25,592LP,57.1%,46.8%,471.0,0.9,Sylas,Syndra,Irelia
TwTv Ronges1,592LP,56.3%,47.3%,459.0,0.8,Katarina,Kha'Zix,Zed
Smooth Guy,592LP,58.9%,46.8%,421.0,1.0,Syndra,Poppy,Zed
TAS Looki,591LP,52.8%,48.8%,439.0,0.9,Ezreal,Lucian,Kai'Sa
Jatzy,590LP,53.6%,38.0%,392.0,0.8,Heimerdinger,Seraphine,Jhin
Deeathh,590LP,54.7%,43.2%,419.0,1.0,Cassiopeia,Syndra,Viktor
krellektp,590LP,54.6%,48.7%,392.0,0.8,Zac,Wukong,Karma
uwuden,590LP,53.4%,58.7%,315.0,2.6,Karma,Rakan,Nami
Pusi Puu,537LP,52.3%,53.0%,456.0,1.1,Rengar,Diana,Wukong
Weaksided player,590LP,53.3%,33.7%,398.0,0.6,Cho'Gath,Darius,Urgot
Kehvo,590LP,52.6%,49.4%,436.0,0.8,Varus,Zeri,Ezreal
dejfDawid1,589LP,56.7%,56.0%,416.0,1.1,Wukong,Vi,Lillia
ehxc9,589LP,51.3%,56.2%,304.0,2.2,Karma,Nautilus,Annie
BOUT Tockimo,588LP,52.8%,59.4%,300.0,2.0,Nautilus,Rakan,Nami
MiÅ,588LP,51.7%,49.2%,457.0,0.7,Varus,Ezreal,Lucian
Benzz4,588LP,51.8%,50.0%,425.0,0.9,Zeri,Caitlyn,Ashe
Senstive,587LP,57.6%,45.7%,465.0,0.8,Irelia,Sylas,Akali
BURNINBURNIN,586LP,53.1%,44.6%,420.0,0.9,Rumble,Lux,Karma
lÎ¿tuss,586LP,52.6%,58.3%,445.0,1.0,Nidalee,Graves,Sylas
TDSP D1verse,585LP,53.8%,43.5%,424.0,0.9,Viego,Zed,Gangplank
bjk rate fill ac,584LP,50.9%,55.9%,383.0,1.6,Karthus,Pyke,Karma
KnowMe1,584LP,51.7%,50.2%,431.0,0.8,Swain,Ezreal,Varus
twt KruciGang,584LP,51.5%,43.7%,420.0,0.7,Akshan,Aurelion Sol,Kassadin
phoon phoonescu,584LP,54.2%,60.8%,309.0,2.0,Lulu,Ashe,Karma
Kaiyko Fan,584LP,52.7%,51.9%,406.0,0.7,Maokai,Viego,Wukong
estrella caida,584LP,53.8%,57.9%,329.0,2.3,Pyke,Ashe,Ezreal
HadiHadi,583LP,52.4%,47.9%,361.0,1.8,Ashe,Renekton,Gragas
Vyct0r,583LP,54.6%,44.9%,425.0,1.0,Ryze,Syndra,Tristana
SIGMA MENTALlTY,582LP,52.0%,52.6%,310.0,2.5,Ashe,Pyke,Heimerdinger
SparÎº,581LP,51.4%,50.9%,472.0,0.8,Kai'Sa,Lucian,Varus
CT 9904,580LP,53.9%,58.0%,303.0,2.1,Rakan,Karma,Nami
BRT Inspire,580LP,53.0%,49.4%,412.0,0.9,Varus,Nidalee,Orianna
TheDisconnect,580LP,55.9%,47.3%,341.0,0.6,Zilean,Karma,Malphite
Bebs,580LP,54.3%,58.0%,476.0,0.6,Jhin,Thresh,Blitzcrank
GrabMyTomates,580LP,57.7%,56.7%,310.0,1.9,Janna,Bard,Nautilus
1134 2 09,580LP,55.8%,36.7%,444.0,0.7,Jax,Renekton,Fiora
TPAA IhY0,579LP,51.1%,38.7%,427.0,0.5,Olaf,Jayce,Jax
KREOX1,579LP,51.3%,52.7%,435.0,1.1,Sylas,Graves,Bel'Veth
DHVS,578LP,50.7%,58.7%,443.0,1.1,Viego,Sylas,Wukong
ad895091,578LP,53.0%,50.3%,462.0,0.8,Varus,Zeri,Ezreal
minekopter11,578LP,50.9%,47.4%,415.0,0.6,Galio,Aurelion Sol,Kai'Sa
Killua ZoIdyck K,576LP,53.2%,53.3%,464.0,0.8,Jhin,Ezreal,Xayah
ShampooingErable,576LP,53.6%,57.3%,323.0,1.8,Sona,Lulu,Amumu
tech movement,576LP,54.1%,57.9%,301.0,2.3,Karma,Nami,Lulu
EastGoblin,576LP,59.1%,57.4%,292.0,2.3,Nautilus,Rakan,Karma
Jerry Wooters,575LP,53.4%,48.7%,455.0,0.6,Jayce,Syndra,Ryze
CUTE UWU JUNGLER,575LP,54.4%,51.7%,414.0,0.7,Wukong,Kindred,Maokai
INT Baul,575LP,58.7%,57.7%,334.0,2.5,Leona,Ashe,Nautilus
Hyweedri,575LP,58.5%,57.3%,424.0,1.2,Wukong,Elise,Bel'Veth
PolkÎ±,574LP,51.8%,45.2%,409.0,0.7,Vladimir,Annie,Udyr
Lari,574LP,53.6%,49.1%,410.0,1.1,Heimerdinger,Zeri,Xayah
My bad I guess,573LP,51.0%,58.1%,438.0,0.8,Vi,Taliyah,Lillia
XÃ±S,573LP,55.7%,54.1%,430.0,1.2,Graves,Wukong,Jarvan IV
isa fan acc,573LP,54.8%,43.2%,432.0,0.7,Ryze,Tristana,Wukong
jaxs little girl,572LP,53.0%,59.5%,286.0,2.4,Nautilus,Rell,Rakan
StenBosse,572LP,52.9%,37.9%,419.0,0.8,Fiora,Gangplank,Jayce
FW Yusa,572LP,51.2%,46.8%,432.0,0.9,Caitlyn,Draven,Varus
pon la boquita,572LP,53.0%,53.8%,446.0,0.7,Evelynn,Hecarim,Xin Zhao
MJ Twenty Three,572LP,53.4%,48.5%,447.0,1.0,Zeri,Varus,Caitlyn
AKR Woden,572LP,53.9%,57.5%,373.0,1.0,Zac,Sejuani,Maokai
Bosch Drill,571LP,54.8%,36.1%,476.0,0.5,Sion,Gragas,Quinn
Kiszee,571LP,56.9%,51.7%,429.0,1.0,Kai'Sa,Lucian,Ezreal
LickMyHeaI,571LP,53.0%,54.6%,305.0,2.3,Ashe,Renata Glasc,Heimerdinger
Case Ray,571LP,55.0%,37.0%,467.0,1.0,K'Sante,Jax,Gangplank
Jokki xD,571LP,55.5%,56.1%,431.0,0.8,Karthus,Jhin,Samira
twjnnehzt,570LP,55.1%,51.3%,485.0,0.8,Rengar,Talon,Varus
CHAP PXXL,569LP,51.9%,49.0%,443.0,0.7,Caitlyn,Varus,Ashe
mike maignan,569LP,50.6%,52.9%,525.0,0.6,Draven,Samira,Ezreal
Zeri No Jutsu,568LP,50.7%,51.9%,489.0,0.7,Draven,Akali,Samira
beansu,568LP,53.4%,56.4%,292.0,2.3,Ashe,Nautilus,Lulu
Helpful Slipper,567LP,54.5%,61.4%,302.0,2.1,Lulu,Nautilus,Karma
SIUUUUU Later,567LP,51.3%,56.8%,323.0,2.3,Ashe,Pyke,Nautilus
ShadowZerÃ´,567LP,51.5%,59.6%,302.0,1.7,Sona,Soraka,Karma
Fufu Warrior,567LP,52.3%,55.2%,405.0,0.8,Viego,Jarvan IV,Sylas
Roison,567LP,53.9%,49.4%,414.0,0.5,Annie,Karma,Corki
COZzoSKIllz,566LP,57.2%,54.4%,452.0,1.0,Kai'Sa,Tristana,Draven
interludeloseacc,566LP,50.9%,40.0%,422.0,0.9,Quinn,Zeri,Neeko
juste baise moi,566LP,52.9%,44.2%,426.0,0.7,Vladimir,Kassadin,Garen
HerazÃ¸r,566LP,55.2%,41.5%,437.0,1.0,Ryze,Akali,Syndra
CatrÎ±,565LP,52.3%,56.1%,327.0,2.4,Jhin,Rakan,Ashe
Rogers Steve,565LP,54.3%,38.4%,471.0,0.7,Zed,Aatrox,Vel'Koz
INT ichdeutsch,565LP,56.3%,55.5%,308.0,2.9,Pyke,Renata Glasc,Rakan
Lord CC,565LP,53.1%,56.3%,440.0,0.9,Talon,Wukong,Elise
euneashetop,565LP,55.0%,44.3%,424.0,0.5,Cassiopeia,Yone,Karthus
Kuroikenshin,565LP,54.3%,49.2%,449.0,0.8,Caitlyn,Ezreal,Zeri
RobertBrÃ¤nnstrÃ¶m,564LP,54.7%,38.9%,457.0,0.7,Jax,Olaf,Fiora
INT Valenjin,564LP,51.6%,55.5%,305.0,1.7,Rakan,Ornn,Lux
LevelZeroProdigy,564LP,52.6%,34.6%,362.0,0.9,Ashe,Singed,Shaco
Chaleureux,564LP,54.9%,56.1%,290.0,2.5,Zilean,Rakan,Poppy
Wenelinfo,564LP,56.4%,47.4%,409.0,0.9,Zoe,Akali,Vel'Koz
AleXAnDaZaR,564LP,60.8%,46.1%,440.0,0.4,Varus,Caitlyn,Zeri
HMPeiWan 3Kar3a,563LP,52.3%,57.2%,432.0,1.2,Wukong,Nidalee,Elise
ZONGO LE DOZ0,563LP,52.1%,50.0%,437.0,0.7,Kled,Zac,Kennen
MUTING,562LP,52.7%,53.1%,443.0,0.7,Caitlyn,Varus,Ezreal
noscriptjusthand,562LP,55.1%,51.5%,472.0,0.9,Kalista,Caitlyn,Draven
HypÃ,562LP,52.1%,36.6%,428.0,0.5,Riven,Fiora,Irelia
FurkoazkÃ®,561LP,54.7%,51.5%,288.0,2.3,Nautilus,Karma,Rakan
2024MCDONALDS,561LP,61.5%,61.5%,298.0,2.6,Nautilus,Karma,Nami
BackRoadGee,561LP,54.1%,54.4%,504.0,0.8,Draven,Samira,Ezreal
keep focus1ng,560LP,52.6%,50.2%,453.0,0.8,Jhin,Xayah,Kai'Sa
DeÃ¡dly,560LP,52.8%,51.6%,465.0,0.8,Caitlyn,Lucian,Ezreal
eYa Cedeiix,560LP,60.8%,56.4%,453.0,1.7,Graves,Elise,Viego
dridro,560LP,52.4%,57.2%,297.0,2.2,Karma,Soraka,Ashe
Wan sur Ã§a,559LP,56.3%,45.3%,424.0,0.7,Yone,Ryze,Karma
Murabito B,559LP,53.1%,59.4%,431.0,1.0,Elise,Vi,Viego
askÄ±n olayÄ±m,558LP,53.4%,36.3%,385.0,0.8,Ornn,Gnar,K'Sante
DegustatorSzamba,558LP,55.6%,35.1%,438.0,0.8,Olaf,Ryze,Jayce
Dym la dÃ©prime,558LP,50.7%,45.6%,391.0,0.9,Azir,Galio,Vel'Koz
MWD Kidiro v9,558LP,56.6%,53.2%,278.0,1.9,Janna,Rell,Nautilus
Vouty,558LP,51.1%,37.9%,417.0,0.8,Jax,Olaf,Renekton
puiuNr2,558LP,52.5%,58.0%,311.0,2.5,Pyke,Rakan,Renata Glasc
MrDon001,557LP,51.1%,48.2%,405.0,0.8,Syndra,Orianna,Twisted Fate
TPAA Krimson,557LP,51.5%,57.7%,470.0,1.2,Graves,Maokai,Lee Sin
Nice Guy Ben,557LP,51.3%,44.7%,441.0,0.7,Samira,Fiora,Ezreal
gtrik,531LP,52.4%,46.2%,415.0,0.9,Ryze,Tristana,Syndra
Theocacs,557LP,51.4%,52.8%,402.0,0.9,Zac,Wukong,Sejuani
Don Arts,557LP,51.6%,56.9%,414.0,1.2,Maokai,Vi,Wukong
966KING,556LP,51.6%,50.9%,429.0,0.8,Rengar,Evelynn,Udyr
Trymbi,556LP,57.4%,61.0%,329.0,2.5,Ashe,Nautilus,Lux
Toasterr,556LP,52.1%,49.5%,451.0,0.8,Jhin,Ezreal,Varus
SNÃ¸WMAKÃ©R,451LP,53.5%,49.4%,391.0,1.3,Orianna,Lulu,Azir
how to play zeri,555LP,53.3%,47.3%,449.0,0.6,Varus,Zeri,Caitlyn
xracer022,554LP,55.1%,45.1%,401.0,0.7,Kassadin,Anivia,Shaco
TTV ffwaldemar,553LP,53.7%,52.6%,460.0,0.8,Kha'Zix,Zac,Maokai
Rafflees,553LP,53.2%,55.2%,285.0,1.9,Thresh,Karma,Annie
yanax int acc,553LP,52.6%,38.1%,422.0,0.6,Jax,Garen,Karma
Porsche Kaymin S,552LP,50.7%,47.0%,404.0,0.8,Orianna,Seraphine,Ryze
PCS Misanthiel,551LP,53.2%,37.6%,439.0,0.8,Olaf,Darius,Aatrox
Hellbent Spear,551LP,52.8%,42.9%,375.0,0.7,Pantheon,Vel'Koz,Malzahar
137945681,551LP,53.0%,54.8%,287.0,2.3,Nautilus,Pyke,Ashe
Aizel9,550LP,55.4%,50.9%,453.0,0.8,Jhin,Xayah,Kai'Sa
moxokx,550LP,62.6%,48.3%,441.0,0.6,Ezreal,Caitlyn,Syndra
Makeee,550LP,52.4%,56.8%,293.0,2.2,Nautilus,Karma,Galio
ein kuss bitte,549LP,67.2%,54.8%,452.0,1.1,Graves,Elise,Nidalee
dont give up,549LP,55.7%,52.5%,496.0,0.6,Draven,Kai'Sa,Caitlyn
TraYtoN,549LP,50.9%,59.5%,288.0,2.4,Bard,Karma,Rakan
homielander,549LP,54.2%,49.3%,392.0,1.2,Syndra,Orianna,Brand
KitanÃ¸,548LP,52.9%,35.3%,429.0,0.8,Olaf,Kled,K'Sante
SLY BackSteeel2,548LP,55.7%,57.3%,301.0,2.2,Nautilus,Lux,Ashe
OSV Dunks,548LP,51.0%,33.5%,399.0,0.7,Darius,Urgot,Dr. Mundo
Billy,548LP,54.7%,57.1%,302.0,1.7,Thresh,Nautilus,Ashe
Camera wowow,547LP,52.1%,57.1%,440.0,1.1,Diana,Graves,Viego
pleroma chronou,546LP,53.8%,51.4%,464.0,0.9,Tristana,Sylas,Aurelion Sol
i rush botrk,546LP,52.4%,43.4%,479.0,0.8,Irelia,Camille,Darius
KatyPerryOnLoop,545LP,55.1%,48.6%,400.0,0.9,Ashe,Varus,Heimerdinger
AGC de sidere,545LP,52.7%,53.7%,411.0,1.1,Lee Sin,Elise,Wukong
AuxiliaryKing,545LP,54.6%,55.7%,322.0,2.4,Lux,Annie,Ashe
appleman6,544LP,51.3%,41.1%,433.0,0.7,Jayce,Fiora,Gangplank
Savage taco,544LP,56.0%,47.5%,467.0,0.9,Kai'Sa,Ezreal,Xayah
DoktorDingus,544LP,58.6%,48.4%,314.0,2.1,Heimerdinger,Blitzcrank,Ashe
sand flea,544LP,51.8%,41.0%,392.0,0.8,Seraphine,K'Sante,Syndra
Vilager G,544LP,52.9%,37.8%,426.0,0.8,Jax,Renekton,Irelia
Taxer,543LP,58.5%,55.5%,397.0,1.0,Sejuani,Maokai,Elise
KroMAX,543LP,54.0%,57.4%,298.0,2.1,Heimerdinger,Nami,Lulu
420WeabooSlayer,543LP,54.1%,43.6%,474.0,0.8,Zed,Talon,Akali
EGYAmr v2,543LP,56.0%,45.3%,383.0,0.9,Annie,Viktor,Lulu
Akaza Giggle,543LP,54.9%,56.7%,400.0,0.9,Sejuani,Maokai,Vi
HARAM GANKS,542LP,52.8%,53.0%,449.0,1.0,Bel'Veth,Maokai,Wukong
Skillimanjaro,542LP,52.8%,34.9%,371.0,0.6,Skarner,Karma,Annie
take care of me,542LP,53.3%,46.7%,450.0,0.7,Caitlyn,Zeri,Varus
offlÃ¯ne,542LP,51.3%,55.8%,458.0,1.3,Elise,Kha'Zix,Graves
Look At Graph,542LP,70.6%,56.5%,519.0,0.5,Twitch,Samira,Draven
CWE Casey Jones,542LP,63.4%,52.5%,390.0,1.0,Maokai,Vi,Elise
Disabled Chattt,541LP,49.8%,44.7%,422.0,0.9,Ryze,Syndra,Akali
KARELIASABUSER69,541LP,54.5%,51.5%,465.0,0.8,Caitlyn,Zeri,Kalista
Rush fan,541LP,55.6%,55.6%,426.0,1.2,Elise,Graves,Maokai
MochÃ©,540LP,59.9%,46.4%,476.0,0.5,Irelia,K'Sante,Ezreal
NICO QLF,540LP,54.1%,60.1%,411.0,1.0,Ivern,Graves,Jarvan IV
PsYcraw,540LP,53.0%,58.9%,305.0,2.5,Ashe,Heimerdinger,Karma
dudu mid acc,539LP,54.3%,47.2%,419.0,0.8,Anivia,Syndra,Akali
adoppteR,307LP,50.9%,54.2%,444.0,1.0,Diana,Elise,Zac
BATMÎN,539LP,56.6%,39.2%,470.0,0.7,Yasuo,Yone,Zed
niki af1,539LP,50.6%,48.2%,430.0,0.8,Qiyana,Kassadin,Pyke
SSQ Xaragonas,538LP,54.0%,51.7%,391.0,0.7,Amumu,Nunu & Willump,Xin Zhao
K1LLER OZBEY,538LP,57.6%,44.1%,428.0,0.7,Qiyana,Sylas,Kassadin
VVaenA,537LP,50.5%,47.2%,423.0,0.8,Irelia,Sylas,Akali
UL JAMES BOND,537LP,51.1%,47.9%,472.0,0.8,Zeri,Lucian,Caitlyn
Samyaza33,537LP,56.3%,39.9%,413.0,0.9,Syndra,Sion,Yone
BL King Mantis,537LP,53.3%,39.7%,450.0,0.8,Olaf,K'Sante,Dr. Mundo
SLEYERCOOL,536LP,51.6%,38.7%,436.0,0.6,Riven,Jayce,Jax
Juhi nie smutaj,536LP,54.7%,47.4%,412.0,0.9,Wukong,Lee Sin,Kha'Zix
Loc Emiel,536LP,56.7%,57.0%,286.0,2.4,Soraka,Zilean,Rakan
AVAROSAAAA,535LP,51.4%,48.3%,450.0,0.8,Ryze,Katarina,Sylas
PÃGERSÃN,534LP,52.1%,39.8%,407.0,0.9,Fiora,Gwen,Gnar
PERCMAN7,534LP,58.0%,41.5%,463.0,0.5,Ekko,Akshan,Jayce
Spirgius,534LP,51.4%,53.1%,438.0,1.0,Ekko,Wukong,Vi
AssInFaer,534LP,53.8%,55.9%,297.0,2.2,Karma,Leona,Nami
Nature Of Time,534LP,55.1%,38.9%,447.0,0.6,Olaf,Irelia,Jayce
MÎ±stery,533LP,57.4%,56.0%,449.0,1.0,Ekko,Nidalee,Graves
mdb0,533LP,52.1%,47.9%,467.0,0.8,Tristana,Kai'Sa,Twitch
rwta th mana s,533LP,52.3%,54.3%,317.0,2.5,Ashe,Nautilus,Twitch
NATAQAQ,533LP,53.4%,55.3%,432.0,1.0,Lucian,Lux,Caitlyn
Iyami,533LP,52.3%,42.9%,401.0,0.7,Akali,Syndra,Irelia
Tify,533LP,53.7%,50.1%,396.0,0.9,Seraphine,Lux,Ahri
LaBÃªteBleue,532LP,53.9%,41.4%,400.0,0.9,Viktor,Syndra,Cassiopeia
BSC Coldraa,532LP,56.8%,51.8%,457.0,0.9,Varus,Lucian,Ezreal
Shredder1,532LP,53.6%,60.7%,286.0,2.1,Nautilus,Rakan,Karma
SLY Wakz,532LP,51.4%,50.9%,432.0,1.3,Xayah,Caitlyn,Kai'Sa
BIG Rulfchen,532LP,57.5%,57.2%,437.0,1.1,Gragas,Maokai,Kindred
Worten Sempre,531LP,55.1%,40.5%,450.0,0.8,Olaf,Akshan,Gangplank
kermut,531LP,53.1%,48.2%,447.0,0.6,Akshan,Twitch,Gragas
MCDO MULTITALENT,531LP,56.4%,45.7%,404.0,1.3,Jayce,Ashe,Kennen
Prince Albe,531LP,56.9%,38.1%,419.0,0.7,Olaf,Karma,Lulu
DKB MittelmÃ¤Ãig,530LP,51.5%,47.9%,442.0,0.9,Tristana,Akshan,Sylas
pile of atoms,530LP,52.4%,47.0%,448.0,0.8,Azir,Syndra,Viktor
SAKATMÃRAAAAAAAA,529LP,56.2%,51.2%,502.0,0.5,Samira,Dr. Mundo,Xayah
JÄ±renMid,529LP,53.2%,41.0%,434.0,0.7,Illaoi,Vel'Koz,Syndra
ShouyÎ¿u Hinata,529LP,52.0%,61.8%,285.0,2.1,Janna,Nami,Renata Glasc
blÃ¦kvart,529LP,52.5%,37.4%,443.0,0.6,Jax,K'Sante,Camille
PingouiÎ·,528LP,54.5%,49.3%,446.0,1.0,Zeri,Kai'Sa,Samira
brainfarter,528LP,56.2%,48.1%,417.0,1.0,Rek'Sai,Yasuo,Ekko
Destinyyyy,485LP,51.4%,51.2%,412.0,1.2,Kalista,Varus,Ashe
xLittle Bee2,528LP,51.5%,53.9%,412.0,0.9,Elise,Jarvan IV,Ekko
RIPPEDRIPPEDRIP,528LP,53.0%,34.7%,421.0,0.5,Riven,Gangplank,Malphite
KIT GentlmanHero,528LP,52.4%,33.0%,421.0,0.5,Jax,Fiora,Gwen
PCS Kamiloo,528LP,52.7%,48.3%,460.0,0.9,Sylas,Tristana,Syndra
Gokkex,528LP,53.2%,36.8%,342.0,0.6,Tahm Kench,Dr. Mundo,Volibear
Peche Frui v2,527LP,52.6%,53.5%,400.0,1.1,Lee Sin,Viego,Wukong
nobody knÎ¿ws,527LP,52.9%,51.5%,497.0,0.7,Draven,Ezreal,Caitlyn
wont type glhf,527LP,50.9%,57.1%,451.0,1.0,Sejuani,Viego,Graves
OxygenWaster,527LP,53.4%,50.0%,447.0,0.9,Zeri,Draven,Varus
Venour,527LP,51.4%,41.6%,451.0,0.6,Jayce,K'Sante,Gangplank
Yubero,527LP,58.3%,57.1%,377.0,0.9,Nunu & Willump,Maokai,Lissandra
Scrubnootje,527LP,63.5%,45.4%,409.0,0.7,Gragas,Diana,Karma
Winter 0,464LP,55.8%,55.8%,447.0,1.0,Nidalee,Elise,Lee Sin
LAYCSZ,526LP,51.2%,55.1%,378.0,1.1,Evelynn,Camille,Karma
MRG Sh4kur v9,526LP,52.5%,47.8%,467.0,0.9,Varus,Tristana,Ezreal
markyyy,526LP,51.8%,38.4%,427.0,0.8,Jax,Jayce,Gnar
happy when win,526LP,52.4%,48.5%,422.0,0.7,Kassadin,Irelia,Sylas
bam26,526LP,55.4%,43.8%,436.0,0.8,Yone,Orianna,Syndra
Yung T Rizzy,526LP,52.5%,49.4%,465.0,1.0,Kindred,Xin Zhao,Jarvan IV
CHREAKOS,525LP,51.7%,45.6%,381.0,0.9,Karma,Syndra,Zac
KatteN,525LP,53.3%,47.9%,404.0,1.0,Caitlyn,Draven,Ashe
Jesklaa,525LP,53.3%,52.3%,468.0,0.9,Zeri,Varus,Caitlyn
Tabor,525LP,52.6%,52.6%,453.0,1.0,Ekko,Lee Sin,Ornn
FNC EXYT,525LP,56.1%,57.2%,274.0,2.0,Janna,Nami,Lulu
shakedc754,524LP,54.7%,54.6%,439.0,0.8,Kayn,Hecarim,Graves
Kibbylol,546LP,51.6%,45.0%,381.0,1.1,Vladimir,Sona,Ryze
awexa,524LP,52.3%,50.2%,448.0,0.9,Zeri,Kai'Sa,Caitlyn
Vic Reynolds,524LP,52.9%,36.2%,421.0,0.5,Jax,Renekton,Rammus
SÃ¤lde,524LP,52.7%,39.4%,451.0,0.6,Camille,Fiora,Jayce
Bergo,524LP,55.3%,54.2%,479.0,0.5,Varus,Kai'Sa,Xayah
G2 Mimi,524LP,53.2%,48.8%,455.0,0.9,Jayce,Taliyah,Zoe
VÎµgito,523LP,58.7%,52.3%,471.0,0.9,Bel'Veth,Maokai,Talon
Da VÃ­nci,523LP,56.4%,55.6%,396.0,0.8,Zac,Kayn,Nunu & Willump
Nightaker99,523LP,52.2%,51.2%,428.0,1.0,Bel'Veth,Master Yi,Sion
YUA Tebox,522LP,51.8%,49.9%,447.0,0.7,Ezreal,Caitlyn,Xayah
Subzior,522LP,53.8%,54.6%,451.0,0.7,Kayn,Rumble,Master Yi
Gremy,522LP,55.2%,66.2%,435.0,1.1,Jarvan IV,Vi,Trundle
cheekslapper94,521LP,54.7%,47.7%,318.0,2.9,Pyke,Zilean,Bard
Advam,493LP,53.2%,51.2%,409.0,0.8,Viego,Fiddlesticks,Kha'Zix
KÃ¥bs,521LP,51.1%,51.0%,445.0,0.9,Xayah,Varus,Kai'Sa
Deus Ursa,521LP,53.1%,53.5%,289.0,2.3,Ashe,Soraka,Karma
Cypiisuo,521LP,51.7%,45.5%,459.0,0.8,Yasuo,Yone,Ekko
eustachian,521LP,63.3%,54.0%,325.0,2.1,Ashe,Heimerdinger,Nautilus
TD Jakes,520LP,63.9%,47.6%,452.0,0.8,Caitlyn,Syndra,Akali
twitch SAMMU,520LP,52.4%,47.3%,338.0,1.2,Ivern,Annie,Orianna
CLRS Tsuuki,520LP,55.3%,43.8%,434.0,0.8,Varus,Draven,Caitlyn
xJappa,520LP,51.3%,54.8%,430.0,0.9,Karthus,Jhin,Seraphine
SG Darky,520LP,51.6%,36.6%,397.0,0.7,Ornn,Gwen,Jax
TerrÃ¸r,520LP,52.4%,38.2%,425.0,0.8,Jax,Gnar,K'Sante
xTorinto,520LP,53.3%,35.7%,448.0,0.7,Yone,Irelia,Renekton
dua lipa ad acc,546LP,54.7%,54.8%,508.0,1.0,Kai'Sa,Tristana,Lucian
Nuclear Engineer,519LP,51.5%,47.8%,352.0,0.8,Singed,Rakan,Shen
FlatTitsBigCrits,519LP,53.5%,50.6%,433.0,0.8,Ezreal,Kai'Sa,Zeri
PlÎ±nk,519LP,52.1%,41.2%,487.0,0.9,Gangplank,Ornn,Malphite
RustySniper,519LP,56.9%,52.1%,470.0,0.9,Xayah,Kai'Sa,Ezreal
THE WOO TITAN,519LP,54.3%,48.5%,443.0,0.6,Rumble,Qiyana,Gangplank
Axo Bad Boy,519LP,54.4%,36.6%,425.0,0.7,Garen,Mordekaiser,Ornn
reedfoo1,518LP,51.3%,54.1%,478.0,0.7,Caitlyn,Draven,Jhin
Objectif Cafard,518LP,52.5%,33.2%,404.0,1.1,Darius,Aatrox,Akali
STAND FOR GOD,518LP,52.8%,46.9%,462.0,0.7,Draven,Ezreal,Varus
eyaN,518LP,51.7%,52.6%,420.0,1.2,Samira,Zac,Ashe
molly dreams,518LP,60.6%,53.7%,457.0,1.0,Twitch,Vayne,Yasuo
Cinqe,517LP,52.8%,56.5%,278.0,1.7,Thresh,Blitzcrank,Nautilus
Rospija,516LP,55.2%,36.2%,397.0,0.7,Camille,Jax,Gnar
honest12,517LP,53.5%,53.5%,441.0,0.6,Udyr,Viego,Wukong
hirohajzl,517LP,51.1%,51.2%,430.0,0.8,Varus,Tristana,Jhin
PERMA BOT GAP,517LP,53.6%,54.7%,432.0,1.3,Wukong,Graves,Maokai
Account birbante,517LP,55.7%,46.3%,449.0,0.7,Syndra,Galio,Akali
summoner missing,516LP,51.7%,42.6%,428.0,0.8,Tristana,Irelia,Sylas
Xarioo,516LP,56.0%,50.0%,436.0,1.0,Fiddlesticks,Nocturne,Wukong
PÃGNER,516LP,50.5%,46.6%,444.0,0.9,Akali,Sylas,Orianna
i am chiken,516LP,62.9%,44.2%,506.0,0.6,Tryndamere,Jax,Darius
man like xmar,516LP,53.7%,49.7%,469.0,0.9,Varus,Zeri,Ezreal
Energy IceCold,516LP,64.9%,48.5%,426.0,0.9,Azir,Orianna,Tristana
PhÃ¢ntasma,516LP,58.5%,49.3%,432.0,0.8,Akshan,Taliyah,Karma
Syhm,516LP,51.2%,54.2%,307.0,1.9,Karma,Nautilus,Maokai
motus vetiti,515LP,55.2%,57.3%,478.0,1.1,Zeri,Varus,Xayah
Viccer,515LP,56.2%,54.4%,281.0,2.1,Nautilus,Nami,Taric
DÃ®amondprox,515LP,50.1%,53.0%,430.0,1.1,Olaf,Bel'Veth,Rumble
jimsnop,514LP,52.4%,49.4%,401.0,1.0,Tristana,Syndra,Sylas
s3xtape,513LP,62.1%,53.7%,430.0,1.1,Maokai,Elise,Udyr
Masculinee,512LP,59.1%,47.9%,447.0,0.9,Irelia,Jayce,Sylas
Tykoul,512LP,55.2%,43.1%,449.0,0.7,Cassiopeia,Yasuo,Zeri
dragon enjoyer,512LP,52.3%,32.5%,396.0,0.7,K'Sante,Fiora,Gragas
dakjshdkp1,511LP,50.6%,35.5%,452.0,0.6,Gnar,Irelia,Gangplank
